"cleabs","identifiant_rnb","liens_vers_batiment","informations_rnb","geometrie_enveloppe","nom","commentaire_centralise","commentaire_collecteur","gcms_detruit","gcms_date_creation","gcms_date_modification","gcms_date_destruction","diffusion","gcms_numrec","gcms_territoire","gcms_fingerprint","exception_legitime","gcvs_empreinte","traitement","gcvs_nom_lot","geometrie",status,event_type,parent_buildings
BAT_RNB_0000002463244527,V1FZEB2B855V,BATIMENT0000000312195576,"{""ext_ids"": [{""id"": ""bdnb-bc-GWDZ-UMSC-AQPU"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T08:42:57.410355+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-12T13:54:28.146708+01:00"", ""updated_at"": ""2023-12-12T13:54:28.146722+01:00"", ""identifiants_ban"": [""63335_n06oub_00012""]}","MULTIPOLYGON (((701784.6 6491362.8, 701803.3 6491357.600000001, 701807.7000000001 6491356.400000001, 701804.9 6491342.599999999, 701802.4 6491342.899999999, 701802.8 6491348.799999998, 701799.7 6491349.599999998, 701782.7 6491354.099999998, 701784.6 6491362.8)))",,,,false,2024-04-26 17:08:43.839,2024-06-13 13:44:53.563,,true,47291702,FXX,"859f9c1075ef8ee83cb53086603987f2",,"LINESTRING (701799 6491351.9, 701799 6491351.9)",Batiments semblables,RNB_dep_63,POINT (701799 6491351.9),,,
BAT_RNB_0000002463571472,MR73MZHPEKSD,BATIMENT0000000293813384,"{""ext_ids"": [{""id"": ""bdnb-bc-4XBR-64PB-SDCN"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T08:32:54.571079+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T13:27:34.123852+01:00"", ""updated_at"": ""2023-12-11T13:27:34.123864+01:00"", ""identifiants_ban"": [""62261_0430_00303""]}","MULTIPOLYGON (((602355.2 7046228.099999999, 602341.4 7046234.8, 602339.8 7046231.6, 602346.3 7046228.300000001, 602345.2 7046226.1, 602352.5 7046222.400000001, 602355.2 7046228.099999999)))",,,,false,2024-04-26 17:08:43.839,2024-06-13 13:44:53.563,,true,47291702,FXX,fbd8e4157ea579cbff261479cad36287,,"LINESTRING (602347.4 7046229.9, 602347.4 7046229.9)",Batiments semblables,RNB_dep_62,POINT (602347.4 7046229.9),,,
BAT_RNB_0000002453006936,"663FG7P11FBM",BATIMENT0000000324880449,"{""ext_ids"": [{""id"": ""bdnb-bc-W8K7-B7NB-YAAC"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:16:09.771593+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-12T04:42:14.206105+01:00"", ""updated_at"": ""2023-12-12T04:42:14.206134+01:00"", ""identifiants_ban"": [""83075_m4yxge_00064""]}","MULTIPOLYGON (((972058.2998389432 6252268.895474339, 972061.886074141 6252272.141774255, 972063.9 6252269.800000001, 972058.3000000002 6252265, 972056.4032796781 6252267.182527492, 972058.2998389432 6252268.895474339)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,"63422842178a30684a84753a04fd083d",,"LINESTRING (972059.7 6252268.1, 972059.7 6252268.1)",Batiments semblables nbpt diff,RNB_dep_83,POINT (972059.7 6252268.1),,,
BAT_RNB_0000002453010705,"8CDKQ5QE31V8",BATIMENT0000000327417371,"{""ext_ids"": [{""id"": ""bdnb-bc-DASL-16M8-CPBH"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:45.775190+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-12T19:51:29.113594+01:00"", ""updated_at"": ""2023-12-12T19:51:29.113607+01:00"", ""identifiants_ban"": [""83058_zgm7o4_00003""]}","MULTIPOLYGON (((974726.1365169716 6276451.976076503, 974733.6119468468 6276456.7580452915, 974735.1 6276450.4, 974729.4035679245 6276447.326924801, 974726.1365169716 6276451.976076503)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,"0c68defe0d9b9bc4417cc6ccdf1754ce",,"LINESTRING (974730.8 6276451.2, 974730.8 6276451.2)",Batiments semblables nbpt diff,RNB_dep_83,POINT (974730.8 6276451.2),,,
BAT_RNB_0000002453012757,"9JZE4XYTXHWD",BATIMENT0000000325473627,"{""ext_ids"": [{""id"": ""bdnb-bc-NEZG-HWJK-QUHS"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:58.697575+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T10:03:06.625755+01:00"", ""updated_at"": ""2023-12-13T10:03:06.625776+01:00"", ""identifiants_ban"": [""83026_benajy_00017"", ""83026_benajy_00011""]}","MULTIPOLYGON (((960881.9975279297 6263781.7031676425, 960881.0576939634 6263782.877397368, 960878.8366224975 6263785.445540993, 960886.2046495824 6263788.720929918, 960887.6 6263789.000000004, 960888.5999999999 6263787.200000002, 960889.3410297928 6263785.846815161, 960881.9975279297 6263781.7031676425)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,"22dec320c1f86849faa3de45b6c30339",,"LINESTRING (960883.4 6263784.3, 960883.4 6263784.3)",Batiments semblables nbpt diff,RNB_dep_83,POINT (960883.4 6263784.3),,,
BAT_RNB_0000002453018863,D77N6TWD6DJ4,BATIMENT0000000325682576/BATIMENT0000000325682577,"{""ext_ids"": [{""id"": ""bdnb-bc-AVFH-BLFH-R81J"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:42.338406+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T22:55:26.139636+01:00"", ""updated_at"": ""2023-12-11T22:55:26.139659+01:00"", ""identifiants_ban"": [""83115_mz87ve_00019""]}","MULTIPOLYGON (((992866.4000000001 6251789.200000001, 992867.6 6251790.200000002, 992872.5000000001 6251784.099999999, 992872.5999999999 6251783.899999999, 992868.8030023437 6251780.78103764, 992863.7216048986 6251787.057283917, 992866.4000000001 6251789.200000001)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,"2aac4c6f79934f0437b433294259655b",,"LINESTRING (992868.1 6251785.6, 992868.1 6251785.6)",Batiments semblables nbpt diff/Batiments BDTOPO balcon,RNB_dep_83,POINT (992868.1 6251785.6),,,
BAT_RNB_0000002462045723,"5RWNC2ASXQHY",BATIMENT0000002012014832,"{""ext_ids"": [{""id"": ""bdnb-bc-9K45-WBQF-GQ8E"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T08:58:57.501963+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T00:06:43.602425+01:00"", ""updated_at"": ""2023-12-13T00:06:43.602439+01:00"", ""identifiants_ban"": [""65274-B002-5042""]}","MULTIPOLYGON (((488620.0999999999 6242629.400000001, 488621.1000000001 6242635.000000002, 488608.6 6242637.3, 488607.6 6242631.6, 488620.0999999999 6242629.400000001)))",,,,false,2024-04-26 17:08:43.839,2024-06-13 13:44:53.563,,true,47291702,FXX,d10f86de98a510d1a3465caad847e389,,"LINESTRING (488614.3 6242633.3, 488614.3 6242633.3)",Batiments semblables nbpt diff,RNB_dep_65,POINT (488614.3 6242633.3),,,
BAT_RNB_0000002458100893,"5RPC3372PCJT",,"{""ext_ids"": [{""id"": ""bdnb-bc-461M-62K5-GYED"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T10:07:36.454182+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T00:54:32.002179+01:00"", ""updated_at"": ""2023-12-11T00:54:32.002191+01:00"", ""identifiants_ban"": [""73241_0085_00580""]}","MULTIPOLYGON (((956685.9519356394 6505691.960704695, 956685.3172008449 6505692.40103733, 956688.8991406099 6505696.95065648, 956692.4999999999 6505694.200000002, 956687.6 6505687.8, 956686.165940523 6505688.929865042, 956685.9519356394 6505691.960704695)))",,,,false,2024-04-26 17:03:35.008,2025-10-16 23:18:59.234,,true,49806099,FXX,cb7fa053a68f1f360d41c8b3eaa776ba,,"LINESTRING (956688.4 6505692.3, 956688.4 6505692.3)",Batiments semblables nbpt diff,RNB_dep_73,POINT (956688.4 6505692.3),,,
BAT_RNB_0000002465941604,GJF42EHJC9JR,BATIMENT0000000284082084,"{""ext_ids"": [{""id"": ""bdnb-bc-NZUY-W1RT-JWH1"", ""source"": ""bdnb"", ""created_at"": ""2024-02-06T14:23:45.099844+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2024-02-07T02:10:23.766729+01:00"", ""updated_at"": ""2024-02-07T02:10:23.766755+01:00"", ""identifiants_ban"": [""59360_0090_00238""]}","MULTIPOLYGON (((701377.6 7058063.9, 701377 7058058.2, 701375.8 7058058.199999998, 701375.3 7058052.8, 701368.5 7058053.299999998, 701368.9 7058059, 701369.1 7058061.699999998, 701375.9 7058061.3, 701376.1 7058063.399999999, 701373.9 7058062.599999997, 701372.5 7058066.200000001, 701377.5 7058068.2, 701379 7058064.400000001, 701377.6 7058063.9)))",,,,false,2024-04-26 17:08:43.839,2024-06-13 13:44:53.563,,true,47291702,FXX,e2d3d9293a2f9f5604624abda31bc265,,"LINESTRING (701373.1 7058060.2, 701373.1 7058060.2)",Batiments semblables nbpt diff,RNB_dep_59,POINT (701373.1 7058060.2),,,
BAT_RNB_0000002453029475,KPZ7BBK49A2T,BATIMENT0000002203540818,"{""ext_ids"": [{""id"": ""bdnb-bc-DEU7-6B47-WAN4"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:45.950399+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T15:58:35.323772+01:00"", ""updated_at"": ""2023-12-11T15:58:35.323784+01:00"", ""identifiants_ban"": [""83088_0070_00021"", ""83088_0070_00019""]}","MULTIPOLYGON (((944609.0999999999 6250455.899999999, 944608.2 6250459.500000002, 944611.4158955711 6250460.408840054, 944613.9010736746 6250450.534290611, 944610.6874196922 6250449.55032123, 944609.0999999999 6250455.899999999)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,ea9877c9bcd4ae93e66f130cf1a8dce8,,"LINESTRING (944611.5 6250453.2, 944611.5 6250453.2)",Batiments semblables nbpt diff,RNB_dep_83,POINT (944611.5 6250453.2),,,
BAT_RNB_0000002453034088,PHKS18PYNCDT,BATIMENT0000002203401674/BATIMENT0000002203401673,"{""ext_ids"": [{""id"": ""bdnb-bc-VP1B-A4ZP-SDTT"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:16:08.962860+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T05:09:56.144446+01:00"", ""updated_at"": ""2023-12-13T05:09:56.144457+01:00"", ""identifiants_ban"": [""83025_0098_00057""]}","MULTIPOLYGON (((937952.8999999999 6274257.199999999, 937954.3 6274251.900000001, 937948.4999999998 6274248.000000003, 937945.9 6274256.2, 937947.3 6274258.199999999, 937948.2999999999 6274257.900000001, 937948.4000000001 6274258.300000001, 937952.8999999999 6274257.199999999)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,f9512c3865fec09aa212ee36c15ee9ae,,"LINESTRING (937950.2 6274254.1, 937950.2 6274254.1)",Batiments BDTOPO balcon/Batiments semblables nbpt diff,RNB_dep_83,POINT (937950.2 6274254.1),,,
BAT_RNB_0000002453034106,PHSWNA21SCD4,BATIMENT0000000325953564,"{""ext_ids"": [{""id"": ""bdnb-bc-15X2-CK43-3HZ1"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:28.559602+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T13:59:25.518444+01:00"", ""updated_at"": ""2023-12-13T13:59:25.518457+01:00"", ""identifiants_ban"": [""83004_0062_00559""]}","MULTIPOLYGON (((983522.7 6269559.6, 983534.8999999999 6269561.3, 983535.2086804835 6269558.477778437, 983523.3806795105 6269554.98650554, 983522.7 6269559.6)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,cfb5c24181d6972fcc4594d9e3a0a326,,"LINESTRING (983526.2 6269556.6, 983526.2 6269556.6)",Batiments RNB dissous semblables,RNB_dep_83,POINT (983526.2 6269556.6),,,
BAT_RNB_0000002453034205,PKF5TA7Q6XZ2,BATIMENT0000000325696213,"{""ext_ids"": [{""id"": ""bdnb-bc-CFJK-VQW2-YL6R"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:44.569142+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T03:42:14.694263+01:00"", ""updated_at"": ""2023-12-13T03:42:14.694289+01:00"", ""identifiants_ban"": [""83115_0477_00007""]}","MULTIPOLYGON (((994936.2 6252660.300000001, 994937.5999999999 6252660.900000001, 994933.4000000001 6252670.400000001, 994935.2642414911 6252671.213964593, 994935.3033921386 6252671.125379913, 994939.4936685413 6252661.659159663, 994936.2116911097 6252660.2721212, 994936.2 6252660.300000001)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,"1749b02e623a9f8b4ac299996103ca89",,"LINESTRING (994936.4 6252666, 994936.4 6252666)",Batiments RNB dissous semblables,RNB_dep_83,POINT (994936.4 6252666),,,
BAT_RNB_0000002453034376,PPG4XJDJB5S7,BATIMENT0000000326449949,"{""ext_ids"": [{""id"": ""bdnb-bc-ZWHF-V97W-TXCF"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:16:14.958303+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T16:05:47.911784+01:00"", ""updated_at"": ""2023-12-11T16:05:47.911806+01:00"", ""identifiants_ban"": [""83068_0099_00450""]}","MULTIPOLYGON (((988305.7172833645 6247208.051831779, 988314.6996722792 6247208.804874846, 988314.7 6247208.8, 988314.8797327027 6247208.8199702995, 988316.5022004652 6247208.955990695, 988316.8 6247203, 988344.0999999999 6247204.1, 988354.1000000001 6247204.1, 988356.4000000001 6247203.999999998, 988356.8517739726 6247191.8522998495, 988354.6560118092 6247191.803459577, 988315.9629512421 6247190.719088093, 988315.5049087033 6247190.7079618145, 988315.5 6247190.8, 988309.993503654 6247190.799999999, 988305.7172833645 6247208.051831779)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,"0021b162f0cc4551bb21b568d289c8e8",,"LINESTRING (988332.6 6247197.4, 988332.6 6247197.4)",Batiments RNB dissous semblables,RNB_dep_83,POINT (988332.6 6247197.4),,,
BAT_RNB_0000002440294223,TTY8NN8JN6F4,BATIMENT0000000104799454,"{""ext_ids"": [{""id"": ""bdnb-bc-X72X-MYEG-5UH4"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T20:29:25.377491+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-12T07:22:42.203121+01:00"", ""updated_at"": ""2023-12-12T07:22:42.20314+01:00"", ""identifiants_ban"": [""36163_b109_00064""]}","MULTIPOLYGON (((621123.8 6595606.200000002, 621123.4 6595607.899999999, 621121.3 6595607.799999998, 621120.9068721372 6595610.945022902, 621126.5186439462 6595611.920877678, 621127.3289406411 6595611.983535527, 621127.7416580078 6595607.266765625, 621126.9327508833 6595607.173046237, 621126.4792304671 6595607.123416877, 621126.5462910404 6595606.474629103, 621123.8 6595606.200000002)))",,,,false,2024-04-26 15:53:23.836,2024-06-13 13:45:40.782,,true,47291704,FXX,"04b055aea9090facb941539988d7d4d3",,"LINESTRING (621124.3 6595609.4, 621124.3 6595609.4)",Batiments RNB dissous semblables,RNB_dep_36,POINT (621124.3 6595609.4),,,
BAT_RNB_0000002453034699,PWWWG85865MM,BATIMENT0000000327235248,"{""ext_ids"": [{""id"": ""bdnb-bc-HHCR-45ME-Y8L4"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:51.746443+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T03:26:34.252524+01:00"", ""updated_at"": ""2023-12-13T03:26:34.252537+01:00"", ""identifiants_ban"": [""83141_952icr_00905""]}","MULTIPOLYGON (((983482.4000000001 6271995.6, 983482.5999999999 6271994.000000002, 983477.2999999998 6271993.000000002, 983470.6000000001 6271991.799999999, 983468.8 6271991.500000002, 983468.4 6271993.300000001, 983462.3 6271992.199999999, 983461 6271999.400000001, 983466.8999999999 6272000.6, 983466.7 6272002.400000002, 983470 6272003.1, 983470.7 6271999.500000001, 983476.0999999999 6272000.600000002, 983475.8 6272002.300000002, 983476.4201600818 6272002.377520011, 983479.6008514625 6272000.421091316, 983486.3447781266 6271996.25746302, 983482.4000000001 6271995.6)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,"19ba2c96e81bb4ff4a68c7ec10570180",,"LINESTRING (983472.4 6271997.6, 983472.4 6271997.6)",Batiments RNB dissous semblables,RNB_dep_83,POINT (983472.4 6271997.6),,,
BAT_RNB_0000002453034946,Q2DBMPZNCXSD,BATIMENT0000000353817772,"{""ext_ids"": [{""id"": ""bdnb-bc-39GS-9MFB-G6MW"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:31.551285+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-12T22:06:48.785386+01:00"", ""updated_at"": ""2023-12-12T22:06:48.785405+01:00"", ""identifiants_ban"": [""83137_nn9xnv_00091""]}","MULTIPOLYGON (((937987.2635168254 6230537.878471109, 937987.3 6230538.8999999985, 937994.8396730365 6230539.189987425, 937994.6102139652 6230529.1, 937994.3999999999 6230529.100000001, 937994.2000000001 6230532.4, 937987.1453448872 6230532.59872268, 937987.2635168254 6230537.878471109)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,d6b1b113eeb9956256ba0c184099664e,,"LINESTRING (937991 6230535.4, 937991 6230535.4)",Batiments RNB dissous semblables,RNB_dep_83,POINT (937991 6230535.4),,,
BAT_RNB_0000002459964325,N7A25ZXFP4VA,BATIMENT0000000224734139,"{""ext_ids"": [{""id"": ""bdnb-bc-EET5-NR83-QWQE"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T09:42:00.042615+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T14:02:30.886864+01:00"", ""updated_at"": ""2023-12-13T14:02:30.886878+01:00"", ""identifiants_ban"": [""70576_0015_00004""]}","MULTIPOLYGON (((923500.6 6764298.800000001, 923501.1001588773 6764299.428771159, 923504.4500757629 6764302.911884549, 923511.7492898089 6764296.904566796, 923508.3130770024 6764292.917144662, 923500.6 6764298.800000001)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:53.563,,true,47291702,FXX,"8098b8523c1880af7198dc1891d954f7",,"LINESTRING (923506.2 6764297.9, 923506.2 6764297.9)",Batiments RNB dissous semblables,RNB_dep_70,POINT (923506.2 6764297.9),,,
BAT_RNB_0000002440294481,VAJQ5P9XFKJH,BATIMENT0000000324491258,"{""ext_ids"": [{""id"": ""bdnb-bc-ZK74-K94E-GF6K"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T20:29:26.600414+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T02:06:45.479611+01:00"", ""updated_at"": ""2023-12-11T02:06:45.479632+01:00"", ""identifiants_ban"": [""36056_0100_00010""]}","MULTIPOLYGON (((604094 6605610.2, 604086.3 6605604.000000001, 604085.2342271507 6605605.311720428, 604092.5823300732 6605611.230376153, 604099.0597370589 6605615.192873729, 604099.8891501237 6605613.788700857, 604094 6605610.2)))",,,,false,2024-04-26 15:53:23.836,2024-06-13 13:45:40.782,,true,47291704,FXX,"393c103a992b18de75648d8fd07dc57f",,"LINESTRING (604089.6 6605607.8, 604089.6 6605607.8)",Batiments RNB dissous semblables,RNB_dep_36,POINT (604089.6 6605607.8),,,
BAT_RNB_0000002453035403,QAMXPQP8DAK6,BATIMENT0000000315465006,"{""ext_ids"": [{""id"": ""bdnb-bc-2XQM-1T3P-ZQBH"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:31.095056+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-12T14:44:55.726499+01:00"", ""updated_at"": ""2023-12-12T14:44:55.726511+01:00"", ""identifiants_ban"": [""83008_0128_00171""]}","MULTIPOLYGON (((999719.2 6277813.899999999, 999717.9999999998 6277813.700000001, 999718 6277821.200000001, 999721.8054722284 6277821.2, 999722.1714916449 6277811.249929807, 999719.9066730102 6277811.249976212, 999719.2 6277813.899999999)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,b20fdbcd32f691ee848393b0c5f8a2fb,,"LINESTRING (999720 6277817.5, 999720 6277817.5)",Batiments RNB dissous semblables,RNB_dep_83,POINT (999720 6277817.5),,,
